,title,views,date_time,video_link,thumbnail_link
89,3 Reasons Students QUIT Coding | How to Code Consistently ? | GeeksforGeeks,1.8K views,4 months ago,/watch?v=oM0HOxae8_A,https://i.ytimg.com/vi/oM0HOxae8_A/hqdefault.jpg
90,Is coding worth it in 2024? 😥 | AI better than coders? | Tech Layoffs & Recession,2.7K views,5 months ago,/watch?v=GD8xHjxnyK8,https://i.ytimg.com/vi/GD8xHjxnyK8/hqdefault.jpg
91,Build a Food Delivery Website using React.js | MERN Stack Projects | GeeksforGeeks,23K views,5 months ago,/watch?v=bd5DewlahnE,https://i.ytimg.com/vi/bd5DewlahnE/hqdefault.jpg
92,5 Ways to Prepare for Layoffs in 2024! | AI Tools | Upskilling | Side Hustles,1.6K views,5 months ago,/watch?v=XbG-Z0gxrjs,https://i.ytimg.com/vi/XbG-Z0gxrjs/hqdefault.jpg
93,"Get Hired From Linkedin in 2024 | Best Linkedin Profile Creation | Skills, Experiences & Networking🚀",3K views,5 months ago,/watch?v=2QbhA2mthy0,https://i.ytimg.com/vi/2QbhA2mthy0/hqdefault.jpg
94,High-Paying Tech Jobs Using AI | AI Tools for Coders | Geeks for Geeks,2.1K views,5 months ago,/watch?v=PekLwtZVi3k,https://i.ytimg.com/vi/PekLwtZVi3k/hqdefault.jpg
95,Web Dev vs App Dev in 2024? Which has more Salary ?🤔 | Career Scope & Skills | Geeks for Geeks,1.9K views,5 months ago,/watch?v=hRTRjWm-2pQ,https://i.ytimg.com/vi/hRTRjWm-2pQ/hqdefault.jpg
96,Build a Fitness Tracker Website using React JS |MERN Projects |GeeksforGeeks,28K views,5 months ago,/watch?v=HISjHTE2vnM,https://i.ytimg.com/vi/HISjHTE2vnM/hqdefault.jpg
97,Top 7 High Paying Tech Jobs in 2024 | Skills and Salary Expected | Geeks for Geeks,39K views,5 months ago,/watch?v=BS-y9ieR-mQ,https://i.ytimg.com/vi/BS-y9ieR-mQ/hqdefault.jpg
98,GATE AIR 21 Shares her secret to become a GATE Topper | GATE Topper Interview | GeeksforGeeks,1.7K views,5 months ago,/watch?v=M5tEUGFpCg0,https://i.ytimg.com/vi/M5tEUGFpCg0/hqdefault.jpg
99,5 Ways to Become Top 1% Coders in 2024 | Get Jobs in IT | Geeks for Geeks,1.8K views,5 months ago,/watch?v=OrNjShjUdow,https://i.ytimg.com/vi/OrNjShjUdow/hqdefault.jpg
100,Tips to ace your tech job search | Resume tips by expert from @indeedindiaofficial   | GeeksforGeeks,1K views,5 months ago,/watch?v=mh7En1ir_XM,https://i.ytimg.com/vi/mh7En1ir_XM/hqdefault.jpg
101,Three 90 Challenge Back with Benefits | GeeksforGeeks,57K views,5 months ago,/watch?v=-d-ZuuF8czQ,https://i.ytimg.com/vi/-d-ZuuF8czQ/hqdefault.jpg
102,7 JAVASCRIPT Concepts Every DEVELOPER Must Know! | GeeksforGeeks,980 views,5 months ago,/watch?v=YxRErpzCa7c,https://i.ytimg.com/vi/YxRErpzCa7c/hqdefault.jpg
103,MOVIE RECOMMENDATION SYSTEM Using Machine Learning | Machine Leaning Projects | GeeksforGeeks,5.4K views,5 months ago,/watch?v=kxT8AursXXw,https://i.ytimg.com/vi/kxT8AursXXw/hqdefault.jpg
104,MASTERING RECURSION | Recursive Algorithm | DSA Course | GeeksforGeeks,1.2K views,5 months ago,/watch?v=zwGcJ62lZ5g,https://i.ytimg.com/vi/zwGcJ62lZ5g/hqdefault.jpg
105,Is Software Engineering Dead ? - Meet Devin by Cognition Labs | GeeksforGeeks,1.6K views,5 months ago,/watch?v=i8w_2n1GH44,https://i.ytimg.com/vi/i8w_2n1GH44/hqdefault.jpg
106,7 BEST AI Tools for Developers in 2024 | GeeksforGeeks,1.6K views,6 months ago,/watch?v=mpIDwAT7m_0,https://i.ytimg.com/vi/mpIDwAT7m_0/hqdefault.jpg
107,3D PORTFOLIO WEBSITE using React and Three JS | GeeksforGeeks,34K views,6 months ago,/watch?v=udtb67DKyq0,https://i.ytimg.com/vi/udtb67DKyq0/hqdefault.jpg
108,FAKE NEWS DETECTION Using MACHINE LEARNING | Machine Learning Projects | GeeksforGeeks,14K views,6 months ago,/watch?v=CkiXRQvz4Z4,https://i.ytimg.com/vi/CkiXRQvz4Z4/hqdefault.jpg
109,HEART DISEASE DETECTION using MACHINE LEARNING | Machine Learning Projects | GeeksforGeeks,3.2K views,6 months ago,/watch?v=F_9gGyCs3YY,https://i.ytimg.com/vi/F_9gGyCs3YY/hqdefault.jpg
110,WHY LEARN PYTHON in 2024? | Benefits of Learning Python | GeeksforGeeks,1.7K views,6 months ago,/watch?v=AmU9Zi6TNrs,https://i.ytimg.com/vi/AmU9Zi6TNrs/hqdefault.jpg
111,Doctor Aaye #successsepareshan Rohan ko Dekhne...,395K views,6 months ago,/watch?v=zbBALFXGy4Y,https://i.ytimg.com/vi/zbBALFXGy4Y/hqdefault.jpg
112,ATS Friendly Resume for Placement in 2024!!! GeeksforGeeks,1.2K views,6 months ago,/watch?v=GF69ZVc1icg,https://i.ytimg.com/vi/GF69ZVc1icg/hqdefault.jpg
113,React JS Made Easy with ChatGPT | GeeksforGeeks,1.8K views,6 months ago,/watch?v=MSmDIkWEtoc,https://i.ytimg.com/vi/MSmDIkWEtoc/hqdefault.jpg
114,TREE PRACTICE PROBLEMS | Tree Traversal Algorithms | DSA Course | GeeksforGeeks,2.7K views,6 months ago,/watch?v=0lLmU-VqXzk,https://i.ytimg.com/vi/0lLmU-VqXzk/hqdefault.jpg
115,GATE CS 2024 ANSWER KEY OUT!! Detailed Paper Discussion - Shift 1 | GeeksforGeeks,1.1K views,6 months ago,/watch?v=9fTvjjI67Rk,https://i.ytimg.com/vi/9fTvjjI67Rk/hqdefault.jpg
116,GATE DS & AI 2024 Response Sheet Out | GATE DS & AI | Data Science GATE Response key | GeeksforGeeks,1.1K views,6 months ago,/watch?v=iFGoMXC4Cxo,https://i.ytimg.com/vi/iFGoMXC4Cxo/hqdefault.jpg
117,Kyun Hai Rohan #successsepareshan? | GeeksforGeeks,275K views,6 months ago,/watch?v=v41P3Y5Xol8,https://i.ytimg.com/vi/v41P3Y5Xol8/hqdefault.jpg
118,TREE DATA STRUCTURES | What is Tree? | DSA Course | GeeksforGeeks,6.8K views,6 months ago,/watch?v=AylOfzYJ2qE,https://i.ytimg.com/vi/AylOfzYJ2qE/hqdefault.jpg
119,Three 90 Challenge Extended | 100+ Refunds Processed! | GeeksforGeeks,33K views,7 months ago,/watch?v=FVCERWiQSDY,https://i.ytimg.com/vi/FVCERWiQSDY/hqdefault.jpg
120,TYPESCRIPT vs JAVASCRIPT | Which one to Choose? | GeeksforGeeks,1.1K views,7 months ago,/watch?v=BFf8n2RrKtM,https://i.ytimg.com/vi/BFf8n2RrKtM/hqdefault.jpg
121,Python's Map Function Explained with Examples | Python Tutorial |  GeeksforGeeks,1K views,7 months ago,/watch?v=L66_EOxzLKI,https://i.ytimg.com/vi/L66_EOxzLKI/hqdefault.jpg
122,Build your own AI image Generation App using MERN | MERN Stack Project | GeeksforGeeks,42K views,7 months ago,/watch?v=stcihX2eavw,https://i.ytimg.com/vi/stcihX2eavw/hqdefault.jpg
123,Strategies To Find A Job FAST! | Job Hunt Tips | How People Get Good Jobs | GeeksforGeeks,898 views,7 months ago,/watch?v=rFXVb2-Rj5k,https://i.ytimg.com/vi/rFXVb2-Rj5k/hqdefault.jpg
124,Make your Resume Strong with these DSA Projects | Best DSA Projects for your Resume | GeeksforGeeks,18K views,7 months ago,/watch?v=NjUteXHoOXk,https://i.ytimg.com/vi/NjUteXHoOXk/hqdefault.jpg
125,Top TECH TRENDS & CAREERS in 2024!!! GeeksforGeeks,846 views,7 months ago,/watch?v=FAluaVzy4VM,https://i.ytimg.com/vi/FAluaVzy4VM/hqdefault.jpg
126,GeeksforGeeks Bloopers!! The Making of Quality Content,834 views,7 months ago,/watch?v=zakV-wfdPYM,https://i.ytimg.com/vi/zakV-wfdPYM/hqdefault.jpg
127,APTITUDE & REASONING | GATE 2024 Ultimate Revision | PYQ and Sample Questions GATE,1.6K views,7 months ago,/watch?v=CaAjf_RE9ew,https://i.ytimg.com/vi/CaAjf_RE9ew/hqdefault.jpg
